depth	count
21.6	1
21.7	2
21.8	1
22	13427
22.5	1958
22.75	11876
22.9	2026
23.0	1
23.2	4
23.3	4922
23.4	4
23.5	2736
23.6	1
23.7	1
23.8	1
24.0	10318
24.384	1
24.4	71
24.5	1
24.59	1184
24.7	4936
24.72	1843
24.75	11873
24.9	1
25.0	58555
25.2	6795
25.3	7
25.4	4
25.5	1706
25.6	1
25.7	1
25.8	1
26.0	458
26.3	2
26.5	1
26.75	11875
26.9	1
27.0	254
27.2	4
27.3	7
27.4	4
27.432	1
27.5	1968
27.6	1
27.7	1
27.8	2
28.0	8744
28.1	2137
28.15	1
28.2	4
28.3	4915
28.5	1704
28.9	1
29.0	18868
29.2	4
29.3	7
29.4	4
29.5	3
29.59	1184
29.6	1
29.7	4937
29.72	1843
29.8	4
30.0	41956
30.3	689
30.48	1
30.9	1
31.0	3083
31.2	4
31.3	7
31.4	4
31.5	1706
31.6	1
31.7	1
31.8	1
32.0	10397
32.5	3
32.9	1
33.2	4
33.3	7
33.4	4
33.5	3
33.528	1
33.6	1
33.7	1
33.8	1
34.0	8373
34.5	1703
34.59	1184
34.72	1843
34.9	1
35.0	15267
35.2	4
35.3	696
35.4	4
35.5	3
35.6	1
35.7	2
35.8	1
36.0	5235
36.576	1
36.9	1
37.0	2454
37.2	4
37.3	8
37.4	4
37.5	1709
37.6	4
37.7	1
37.8	1
38.0	18763
38.3	4915
38.4	2
38.5	2455
38.9	1
39.0	4160
39.05	1
39.1	4
39.2	4
39.25	2454
39.3	7
39.4	2
39.5	2458
39.59	1183
39.624	1
39.7	4936
39.72	1843
39.8	2
40.0	18287
40.3	689
40.9	1
41.0	3
41.2	4
41.3	4
41.4	2
41.5	2
41.7	1
41.8	1
42.0	12665
42.46	1
42.5	2
42.672	1
42.7	1
42.9	1
43.0	3
43.2	4
43.3	5
43.4	2
43.5	3
43.8	1
44.0	6541
44.9	1
45.0	1722
45.2	4
45.3	4
45.4	2
45.5	2
45.72	1
45.8	1
46.0	6546
46.9	1
47.2	4
47.3	5
47.4	2
47.5	6
47.8	1
48.0	6538
48.3	4915
48.5	1030
48.768	1
48.9	1
49.2	4
49.3	4
49.4	2
49.5	3
49.8	1
50.0	19679
50.9	1
51.2	4
51.3	5
51.4	2
51.5	1
51.816	1
52.0	11641
52.5	3
52.9	3845
53.3	1
53.4	2
53.5	1
53.8	1
53.9	1
54.0	6525
54.2	4
54.3	4
54.4	1
54.5	2
54.7	4935
54.864	1
55.0	1024
56.0	6480
57.0	6477
57.4	1
57.5	2
57.8	1
57.912	1
58.0	7516
58.3	4915
58.4	1
59.0	6479
59.59	1181
59.72	1843
60.0	14770
60.8	1
60.9	1
60.96	1
61.0	6469
61.13	3
61.2	1
61.8	4
62.0	11603
62.5	2
63.9	1
64.0	12
65.0	18
66.0	12
67.0	4
67.5	2
67.7	5
68	8
68.3	4915
68.5	1
68.6	3
68.7	2
69.59	1183
69.7	4935
70.0	5922
72.0	5110
72.5	2
73.0	3
74	2
75.0	14
77.0	5110
77.5	2
78.3	4915
80.0	5892
82.0	5110
82.2	2
82.5	2
83.2	4
83.3	3702
85.0	2035
87.0	5110
87.5	2
88.3	4915
89.5	1
90	7720
92.0	1
92.5	2
93.3	4915
95.0	3878
95.8	4915
97.5	2763
98.3	4915
99.0	1
100.0	8906
110.0	3844
120.0	3844
130.0	3844
140.0	3844
